TotalMinutesAsleep,Calories,TotalSteps,VeryActiveMinutes,SedentaryMinutes,BMI,AvgHeartRate
99.0,3274,11009,27,1017,,81.49099490746491
329.0,3015,10181,20,704,,65.5324563295234
421.0,3083,10553,19,696,,65.40125868055556
442.0,3069,10055,7,853,,63.099279119767296
82.0,3544,12139,77,945,,73.27719923266649
478.0,3306,13236,58,749,,67.08074201158053
552.0,2885,10243,14,584,,62.10169687175343
319.0,2929,9461,14,673,,62.51359843970094
439.0,3074,11193,11,684,,62.120521869318786
428.0,2969,10074,19,878,,62.32648343180067
409.0,3283,12533,14,537,,64.22769296925392
547.0,2926,10255,12,579,,60.02217947267172
368.0,3147,10096,33,935,,66.39496105160661
390.0,3162,12375,35,632,,61.94766681203663
471.0,2899,9603,12,896,,61.041297935103245
471.0,2899,9603,12,896,,61.041297935103245
472.0,4022,22770,120,508,,66.62712040795088
529.0,3934,17298,107,576,,76.78011037766476
62.0,3013,10218,6,1020,,64.05171717171717
354.0,3061,10299,13,648,,61.22121701669359
469.0,2954,10201,8,858,,59.97196611014204
126.0,2486,13743,6,844,27.3199996948242,85.66238718698361
103.0,2223,9148,12,1062,27.3199996948242,91.335402888379
171.0,1918,7833,15,1096,27.3199996948242,80.55509145902347
115.0,1692,3428,0,1121,27.3199996948242,70.84190403364558
123.0,2666,6543,66,1019,27.3199996948242,104.87147199305254
441.0,2026,11596,19,767,,64.36511350059737
455.0,1718,4832,0,647,,61.483418208918145
357.0,2324,17022,61,693,,72.56047167909696
377.0,2254,16556,58,689,,69.0200328407225
651.0,1831,5771,0,521,,66.0213644088371
350.0,1397,655,0,943,,59.37717466945024
520.0,1683,3727,0,622,,65.3844028632425
357.0,2284,15482,69,756,,74.88753310631857
658.0,1570,2713,0,598,,60.040417526398834
399.0,2066,12346,47,801,,71.33225337951068
322.0,2105,11682,25,781,,70.42847711267606
631.0,1776,4112,0,443,,67.07407854984895
553.0,1507,1807,0,582,,63.97276314114802
433.0,2033,10946,51,732,,72.04626295690126
412.0,2093,11886,40,750,,73.01322425193321
347.0,1922,10538,16,745,,65.07076392877657
421.0,1999,11393,49,727,,71.07164801404433
450.0,2169,12764,46,709,,73.07417008111047
775.0,1463,1202,0,506,,65.77999501122474
622.0,1747,5164,0,436,,66.54344989561586
409.0,1996,9769,23,724,,72.59142652035689
380.0,2116,12848,26,812,,69.95312333155366
447.0,1698,4249,0,651,,61.67218347322378
419.0,2156,14331,44,692,,69.4014172571905
400.0,1916,9632,21,761,,63.165196696066076
442.0,1494,1868,0,902,,63.02644230769231
568.0,1762,6083,3,505,,65.5694360947457
453.0,2272,11611,59,667,,76.65612883984491
418.0,2335,16358,61,707,,76.83269438710312
463.0,1693,4926,0,628,,65.40050890585242
438.0,741,3121,8,222,,64.19532265049806
419.0,3405,8135,86,728,28.0,65.65607369027059
432.0,2551,5077,15,776,28.0,59.7035779576913
477.0,4022,8596,118,662,28.0,76.83571282888028
392.0,4005,12087,115,695,28.0,73.68219516499029
406.0,4274,14269,184,472,28.0,69.84255028980566
549.0,4552,12231,200,525,28.0,71.11754189944133
527.0,3625,9893,114,623,28.0,68.649090276973
449.0,3501,12574,108,733,28.0,70.46025152878735
447.0,3192,8330,87,773,28.0,69.17306809487376
414.0,4018,10830,110,670,28.0,72.31130021769246
338.0,3329,9172,62,823,28.0,64.64848702308336
384.0,3152,7638,24,627,28.0,65.07899988261534
543.0,4392,15764,210,425,28.0,72.2686495562485
421.0,3374,6393,61,743,28.0,67.54545454545455
354.0,3088,5325,38,759,28.0,65.35988133272478
424.0,3294,6805,63,773,28.0,66.42827775239836
361.0,3580,9841,99,692,28.0,70.68770690796734
459.0,3544,7924,97,739,28.0,66.26641414141415
412.0,4501,12363,207,621,28.0,71.55549407989378
379.0,4546,13368,194,499,28.0,73.70357503081924
525.0,3014,7439,37,732,28.0,64.60946601941748
508.0,3795,11045,97,580,28.0,70.00069044879172
603.0,2755,5206,25,631,28.0,62.24588163514338
74.0,3004,7550,45,1153,28.0,72.21057965139846
504.0,3841,8869,104,639,28.0,75.29284883200573
431.0,1665,4038,45,257,28.0,67.04067948144836
380.0,2828,14450,7,502,,87.02745664739885
336.0,2225,7150,0,702,,85.35302197802197
493.0,2018,5153,0,759,,82.91442424242425
465.0,2606,11135,0,425,,83.5081252044934
474.0,2536,10449,26,587,,85.50435634937922
508.0,4900,19542,11,579,,79.40156418554477
480.0,2409,8206,0,413,,81.7020639147803
492.0,2651,11495,0,468,,81.79523809523809
353.0,2305,7623,0,711,,84.20596510973552
542.0,2576,9411,0,417,,83.14904055822068
393.0,1879,3403,0,758,,80.09522625559423
600.0,2560,9592,0,479,,82.1624183006536
507.0,2361,8915,0,525,,77.43914274160939
392.0,2636,9799,0,479,,84.71879315839796
658.0,1838,3365,0,673,,76.57278208441
498.0,2469,7336,0,456,,83.87947810703228
555.0,2250,7328,0,517,,81.14073912569498
492.0,1248,4477,0,125,,76.46606060606061
235.0,2400,4053,17,1053,,82.71974376572867
423.0,2507,5162,14,863,,79.26807673389081
391.0,2127,1282,0,976,,80.59450072358901
366.0,1994,10199,50,796,24.3899993896484,85.03632013919095
630.0,1718,5652,8,548,24.2399997711182,80.51959835470602
508.0,1466,1551,0,862,24.1000003814697,70.12622079367041
370.0,1756,5563,0,837,24.0,72.99198084979055
357.0,2173,13217,50,741,24.2099990844727,82.04018218623482
427.0,2027,10145,5,634,23.9599990844727,76.66448880822746
442.0,2039,11404,13,689,23.8899993896484,76.9169910837624
476.0,2046,10742,35,659,23.9599990844727,77.42858801672085
418.0,2174,13928,48,639,24.1000003814697,74.90601080594327
451.0,2179,11835,53,708,23.9599990844727,83.47130206625123
425.0,2086,10725,30,659,23.9599990844727,79.11627137341424
528.0,2571,20031,58,484,24.0,84.64590097402598
511.0,1705,5029,0,720,24.0,68.82344093486059
400.0,2194,13239,35,637,24.1000003814697,73.98988232706478
441.0,2012,10433,36,680,24.1000003814697,77.07536166872266
455.0,2034,10320,7,697,23.8899993896484,72.99697498545666
440.0,2182,12627,38,621,23.8899993896484,82.0752688172043
433.0,2254,10762,12,645,23.9599990844727,80.9635204922536
422.0,2002,10081,32,731,23.8199996948242,80.1626647834275
411.0,1740,5454,0,722,24.1000003814697,73.29039031620553
466.0,2162,12912,18,655,24.0,79.67409119562933
394.0,2072,12109,21,654,23.8199996948242,75.40436222450612
442.0,2086,10147,15,683,23.8500003814697,79.47459105779717
467.0,2066,10524,14,591,23.9300003051758,76.64476227290298
443.0,1850,5908,0,717,24.0,72.33436738311545
298.0,1947,6815,0,745,23.8899993896484,76.97600374575676
541.0,1659,4188,0,709,23.8899993896484,74.99709744298549
489.0,2105,12342,43,607,24.3500003814697,77.01762783095961
469.0,2361,15448,62,626,24.2399997711182,83.32208250606662
452.0,1855,6722,24,709,24.1700000762939,79.25104235242485
516.0,928,3587,0,127,24.1700000762939,75.71574096531651
79.0,2076,4631,0,1155,,79.95248226950355
58.0,2225,5600,0,1142,,84.96455424274973
